,지역(1),지역(2),세대,총전입,총전출,순이동,시도내이동-시군구내,시도내이동-시군구간 전입,시도내이동-시군구간 전출,시도간전입,시도간전출,연도
108,서울특별시,강북구,노년층,5751.0,6567.0,-816.0,2135.0,2320.0,2402.0,1296.0,2030.0,2019
109,서울특별시,강북구,노년층,6787.0,7730.0,-943.0,2535.0,2758.0,2660.0,1494.0,2535.0,2020
110,서울특별시,강북구,중장년층,21860.0,22163.0,-303.0,7364.0,9931.0,8995.0,4565.0,5804.0,2010
111,서울특별시,강북구,중장년층,20605.0,21525.0,-920.0,7263.0,9165.0,8442.0,4177.0,5820.0,2011
112,서울특별시,강북구,중장년층,19178.0,20400.0,-1222.0,6835.0,8275.0,7973.0,4068.0,5592.0,2012
113,서울특별시,강북구,중장년층,18405.0,20451.0,-2046.0,6930.0,7774.0,8065.0,3701.0,5456.0,2013
114,서울특별시,강북구,중장년층,18855.0,20686.0,-1831.0,7075.0,8214.0,8042.0,3566.0,5569.0,2014
115,서울특별시,강북구,중장년층,18805.0,20727.0,-1922.0,7089.0,8135.0,8071.0,3581.0,5567.0,2015
116,서울특별시,강북구,중장년층,17693.0,19358.0,-1665.0,6664.0,7632.0,7373.0,3397.0,5321.0,2016
117,서울특별시,강북구,중장년층,16449.0,17943.0,-1494.0,5872.0,7318.0,6891.0,3259.0,5180.0,2017
118,서울특별시,강북구,중장년층,15538.0,17994.0,-2456.0,5917.0,6452.0,6763.0,3169.0,5314.0,2018
119,서울특별시,강북구,중장년층,14234.0,16451.0,-2217.0,4915.0,6175.0,6803.0,3144.0,4733.0,2019
120,서울특별시,강북구,중장년층,15166.0,17801.0,-2635.0,5293.0,6821.0,7134.0,3052.0,5374.0,2020
121,서울특별시,강북구,청년층,18137.0,18193.0,-56.0,4962.0,8325.0,7587.0,4850.0,5644.0,2010
122,서울특별시,강북구,청년층,16905.0,17216.0,-311.0,4660.0,7692.0,7197.0,4553.0,5359.0,2011
123,서울특별시,강북구,청년층,15889.0,16560.0,-671.0,4406.0,6860.0,6838.0,4623.0,5316.0,2012
124,서울특별시,강북구,청년층,14355.0,16011.0,-1656.0,4315.0,6115.0,6650.0,3925.0,5046.0,2013
125,서울특별시,강북구,청년층,14769.0,15742.0,-973.0,4424.0,6350.0,6464.0,3995.0,4854.0,2014
126,서울특별시,강북구,청년층,14432.0,15445.0,-1013.0,4203.0,6274.0,6381.0,3955.0,4861.0,2015
127,서울특별시,강북구,청년층,13719.0,14454.0,-735.0,3932.0,5862.0,5828.0,3925.0,4694.0,2016
128,서울특별시,강북구,청년층,13508.0,13295.0,213.0,3565.0,5813.0,5483.0,4130.0,4247.0,2017
129,서울특별시,강북구,청년층,13287.0,13845.0,-558.0,3605.0,5519.0,5703.0,4163.0,4537.0,2018
130,서울특별시,강북구,청년층,13067.0,13697.0,-630.0,3325.0,5426.0,6034.0,4316.0,4338.0,2019
131,서울특별시,강북구,청년층,14753.0,15277.0,-524.0,3592.0,6501.0,6787.0,4660.0,4898.0,2020
132,서울특별시,강서구,노년층,8144.0,9115.0,-971.0,2606.0,2836.0,2585.0,2702.0,3924.0,2010
133,서울특별시,강서구,노년층,8326.0,9593.0,-1267.0,2822.0,2956.0,2779.0,2548.0,3992.0,2011
134,서울특별시,강서구,노년층,7907.0,8553.0,-646.0,2497.0,2810.0,2284.0,2600.0,3772.0,2012
135,서울특별시,강서구,노년층,8826.0,8808.0,18.0,2785.0,3283.0,2336.0,2758.0,3687.0,2013
