,지역(1),지역(2),세대,총전입,총전출,순이동,시도내이동-시군구내,시도내이동-시군구간 전입,시도내이동-시군구간 전출,시도간전입,시도간전출,연도
283,경상북도,경상북도,중장년층,119946.0,116644.0,3302.0,55907.0,21139.0,21139.0,42900.0,39598.0,2018
284,경상북도,경상북도,중장년층,116886.0,111667.0,5219.0,53114.0,20674.0,20674.0,43098.0,37879.0,2019
285,경상북도,경상북도,중장년층,121635.0,120843.0,792.0,56375.0,22222.0,22222.0,43038.0,42246.0,2020
286,경상북도,경상북도,청년층,116737.0,122899.0,-6162.0,44230.0,20741.0,20741.0,51766.0,57928.0,2010
287,경상북도,경상북도,청년층,118766.0,122369.0,-3603.0,45562.0,21423.0,21423.0,51781.0,55384.0,2011
288,경상북도,경상북도,청년층,108563.0,116925.0,-8362.0,40923.0,19761.0,19761.0,47879.0,56241.0,2012
289,경상북도,경상북도,청년층,106571.0,113677.0,-7106.0,40721.0,19389.0,19389.0,46461.0,53567.0,2013
290,경상북도,경상북도,청년층,106563.0,114249.0,-7686.0,39131.0,19146.0,19146.0,48286.0,55972.0,2014
291,경상북도,경상북도,청년층,108662.0,115839.0,-7177.0,39565.0,20378.0,20378.0,48719.0,55896.0,2015
292,경상북도,경상북도,청년층,99001.0,108568.0,-9567.0,36797.0,18634.0,18634.0,43570.0,53137.0,2016
293,경상북도,경상북도,청년층,95049.0,105092.0,-10043.0,36081.0,16906.0,16906.0,42062.0,52105.0,2017
294,경상북도,경상북도,청년층,93790.0,105559.0,-11769.0,34873.0,17157.0,17157.0,41760.0,53529.0,2018
295,경상북도,경상북도,청년층,95240.0,106635.0,-11395.0,33824.0,17664.0,17664.0,43752.0,55147.0,2019
296,경상북도,경상북도,청년층,98835.0,116975.0,-18140.0,36065.0,19265.0,19265.0,43505.0,61645.0,2020
429,광주광역시,광주광역시,노년층,25239.0,24401.0,838.0,7407.0,9034.0,9034.0,8798.0,7960.0,2010
430,광주광역시,광주광역시,노년층,25508.0,24682.0,826.0,7913.0,8913.0,8913.0,8682.0,7856.0,2011
431,광주광역시,광주광역시,노년층,23243.0,22561.0,682.0,7110.0,7820.0,7820.0,8313.0,7631.0,2012
432,광주광역시,광주광역시,노년층,22831.0,22438.0,393.0,7556.0,7593.0,7593.0,7682.0,7289.0,2013
433,광주광역시,광주광역시,노년층,25281.0,24931.0,350.0,8283.0,8321.0,8321.0,8677.0,8327.0,2014
434,광주광역시,광주광역시,노년층,24688.0,24719.0,-31.0,8416.0,8119.0,8119.0,8153.0,8184.0,2015
435,광주광역시,광주광역시,노년층,24035.0,24100.0,-65.0,8097.0,8215.0,8215.0,7723.0,7788.0,2016
436,광주광역시,광주광역시,노년층,24425.0,24645.0,-220.0,8580.0,8225.0,8225.0,7620.0,7840.0,2017
437,광주광역시,광주광역시,노년층,28873.0,29246.0,-373.0,10942.0,9530.0,9530.0,8401.0,8774.0,2018
438,광주광역시,광주광역시,노년층,27998.0,28281.0,-283.0,9841.0,9932.0,9932.0,8225.0,8508.0,2019
439,광주광역시,광주광역시,노년층,28857.0,30044.0,-1187.0,11003.0,9970.0,9970.0,7884.0,9071.0,2020
440,광주광역시,광주광역시,중장년층,92918.0,91333.0,1585.0,32515.0,32909.0,32909.0,27494.0,25909.0,2010
441,광주광역시,광주광역시,중장년층,90385.0,90064.0,321.0,33642.0,30951.0,30951.0,25792.0,25471.0,2011
442,광주광역시,광주광역시,중장년층,80147.0,80231.0,-84.0,28992.0,26275.0,26275.0,24880.0,24964.0,2012
443,광주광역시,광주광역시,중장년층,79933.0,80987.0,-1054.0,30410.0,26261.0,26261.0,23262.0,24316.0,2013
444,광주광역시,광주광역시,중장년층,89112.0,89509.0,-397.0,32426.0,29041.0,29041.0,27645.0,28042.0,2014
445,광주광역시,광주광역시,중장년층,82581.0,85222.0,-2641.0,30001.0,26730.0,26730.0,25850.0,28491.0,2015
446,광주광역시,광주광역시,중장년층,78368.0,81127.0,-2759.0,29888.0,26041.0,26041.0,22439.0,25198.0,2016
447,광주광역시,광주광역시,중장년층,77087.0,80020.0,-2933.0,29270.0,25687.0,25687.0,22130.0,25063.0,2017
448,광주광역시,광주광역시,중장년층,81257.0,83370.0,-2113.0,31288.0,26769.0,26769.0,23200.0,25313.0,2018
449,광주광역시,광주광역시,중장년층,79398.0,80360.0,-962.0,29030.0,28217.0,28217.0,22151.0,23113.0,2019
450,광주광역시,광주광역시,중장년층,81758.0,83753.0,-1995.0,31027.0,29061.0,29061.0,21670.0,23665.0,2020
451,광주광역시,광주광역시,청년층,84784.0,86157.0,-1373.0,24439.0,29193.0,29193.0,31152.0,32525.0,2010
452,광주광역시,광주광역시,청년층,82092.0,83433.0,-1341.0,24950.0,27494.0,27494.0,29648.0,30989.0,2011
453,광주광역시,광주광역시,청년층,72511.0,75801.0,-3290.0,21380.0,23241.0,23241.0,27890.0,31180.0,2012
454,광주광역시,광주광역시,청년층,71417.0,74237.0,-2820.0,22102.0,23167.0,23167.0,26148.0,28968.0,2013
455,광주광역시,광주광역시,청년층,74921.0,78547.0,-3626.0,22825.0,24165.0,24165.0,27931.0,31557.0,2014
456,광주광역시,광주광역시,청년층,70581.0,76456.0,-5875.0,21619.0,22392.0,22392.0,26570.0,32445.0,2015
457,광주광역시,광주광역시,청년층,67280.0,71590.0,-4310.0,20926.0,20916.0,20916.0,25438.0,29748.0,2016
458,광주광역시,광주광역시,청년층,65121.0,69936.0,-4815.0,20084.0,20446.0,20446.0,24591.0,29406.0,2017
459,광주광역시,광주광역시,청년층,68709.0,72442.0,-3733.0,21277.0,21019.0,21019.0,26413.0,30146.0,2018
460,광주광역시,광주광역시,청년층,71090.0,73910.0,-2820.0,20778.0,23267.0,23267.0,27045.0,29865.0,2019
461,광주광역시,광주광역시,청년층,77372.0,80401.0,-3029.0,23517.0,25443.0,25443.0,28412.0,31441.0,2020
759,대구광역시,대구광역시,노년층,33925.0,34516.0,-591.0,11445.0,13315.0,13315.0,9165.0,9756.0,2010
760,대구광역시,대구광역시,노년층,35417.0,36168.0,-751.0,12115.0,14104.0,14104.0,9198.0,9949.0,2011
761,대구광역시,대구광역시,노년층,34970.0,35469.0,-499.0,11779.0,13782.0,13782.0,9409.0,9908.0,2012
762,대구광역시,대구광역시,노년층,36919.0,37789.0,-870.0,13035.0,14307.0,14307.0,9577.0,10447.0,2013
763,대구광역시,대구광역시,노년층,39141.0,40667.0,-1526.0,13701.0,15260.0,15260.0,10180.0,11706.0,2014
764,대구광역시,대구광역시,노년층,40992.0,42859.0,-1867.0,14823.0,16629.0,16629.0,9540.0,11407.0,2015
765,대구광역시,대구광역시,노년층,37946.0,39187.0,-1241.0,12755.0,15930.0,15930.0,9261.0,10502.0,2016
766,대구광역시,대구광역시,노년층,39202.0,41137.0,-1935.0,13510.0,16590.0,16590.0,9102.0,11037.0,2017
767,대구광역시,대구광역시,노년층,43807.0,45711.0,-1904.0,16019.0,17896.0,17896.0,9892.0,11796.0,2018
768,대구광역시,대구광역시,노년층,45851.0,48894.0,-3043.0,17111.0,19293.0,19293.0,9447.0,12490.0,2019
769,대구광역시,대구광역시,노년층,50781.0,53675.0,-2894.0,18852.0,20923.0,20923.0,11006.0,13900.0,2020
770,대구광역시,대구광역시,중장년층,140064.0,143095.0,-3031.0,54889.0,52862.0,52862.0,32313.0,35344.0,2010
771,대구광역시,대구광역시,중장년층,139646.0,143238.0,-3592.0,56106.0,52013.0,52013.0,31527.0,35119.0,2011
772,대구광역시,대구광역시,중장년층,132432.0,134852.0,-2420.0,51309.0,48898.0,48898.0,32225.0,34645.0,2012
773,대구광역시,대구광역시,중장년층,135122.0,137712.0,-2590.0,53110.0,49140.0,49140.0,32872.0,35462.0,2013
774,대구광역시,대구광역시,중장년층,136508.0,141375.0,-4867.0,51868.0,49625.0,49625.0,35015.0,39882.0,2014
775,대구광역시,대구광역시,중장년층,137484.0,141340.0,-3856.0,53652.0,51688.0,51688.0,32144.0,36000.0,2015
776,대구광역시,대구광역시,중장년층,126895.0,130176.0,-3281.0,46550.0,50794.0,50794.0,29551.0,32832.0,2016
777,대구광역시,대구광역시,중장년층,124775.0,129118.0,-4343.0,45606.0,50679.0,50679.0,28490.0,32833.0,2017
778,대구광역시,대구광역시,중장년층,123897.0,128827.0,-4930.0,46593.0,48870.0,48870.0,28434.0,33364.0,2018
779,대구광역시,대구광역시,중장년층,118587.0,126255.0,-7668.0,45756.0,46622.0,46622.0,26209.0,33877.0,2019
780,대구광역시,대구광역시,중장년층,130256.0,135943.0,-5687.0,49679.0,51671.0,51671.0,28906.0,34593.0,2020
