,지역(1),지역(2),주택유형,매매가격,연도
264,서울특별시,마포구,아파트,89.57138515,2011
265,서울특별시,양천구,아파트,94.22416767,2011
266,서울특별시,강서구,아파트,92.19867313,2011
267,서울특별시,구로구,아파트,90.85124963,2011
268,서울특별시,금천구,아파트,90.59932969,2011
269,서울특별시,영등포구,아파트,92.87482467,2011
270,서울특별시,동작구,아파트,91.94832803,2011
271,서울특별시,관악구,아파트,91.25280149,2011
272,서울특별시,서초구,아파트,92.05899524,2011
273,서울특별시,강남구,아파트,91.08288482,2011
274,서울특별시,송파구,아파트,93.03521473,2011
275,서울특별시,강동구,아파트,91.34828803,2011
276,경기도,경기도,아파트,94.85697486,2011
277,경기도,과천시,아파트,96.34647504,2011
278,경기도,안양시,아파트,90.27058528,2011
279,경기도,성남시,아파트,96.25957317,2011
280,경기도,군포시,아파트,94.04679091,2011
281,경기도,의왕시,아파트,90.4617852,2011
282,경기도,안성시,아파트,82.19549035,2011
283,경기도,용인시,아파트,102.3212558,2011
284,경기도,수원시,아파트,92.52784053,2011
285,경기도,부천시,아파트,96.5530809,2011
286,경기도,안산시,아파트,88.63505572,2011
287,경기도,시흥시,아파트,91.8917014,2011
288,경기도,광명시,아파트,80.9656332,2011
289,경기도,화성시,아파트,97.26965329,2011
290,경기도,오산시,아파트,97.13038369,2011
291,경기도,평택시,아파트,90.91263242,2011
292,경기도,남양주시,아파트,99.24825986,2011
293,경기도,구리시,아파트,95.03507541,2011
294,경기도,하남시,아파트,93.30065147,2011
295,경기도,광주시,아파트,98.79578271,2011
296,경기도,이천시,아파트,87.13773343,2011
297,경기도,여주시,아파트,,2011
298,경기도,김포시,아파트,93.4568378,2011
299,경기도,고양시,아파트,92.76591066,2011
300,경기도,파주시,아파트,102.2895367,2011
301,경기도,포천시,아파트,,2011
302,경기도,동두천시,아파트,107.6791866,2011
303,경기도,양주시,아파트,102.9890025,2011
304,경기도,의정부시,아파트,100.9308915,2011
305,인천광역시,인천광역시,아파트,95.00194509,2011
306,부산광역시,부산광역시,아파트,92.29002906,2011
307,대구광역시,대구광역시,아파트,73.61595483,2011
308,광주광역시,광주광역시,아파트,85.94743966,2011
309,대전광역시,대전광역시,아파트,100.8831652,2011
310,울산광역시,울산광역시,아파트,89.73799378,2011
311,세종특별자치시,세종특별자치시,아파트,,2011
312,강원도,강원도,아파트,88.80321739,2011
313,충청북도,충청북도,아파트,92.78081164,2011
314,충청남도,충청남도,아파트,90.62081573,2011
315,전라북도,전라북도,아파트,102.0484472,2011
316,전라남도,전라남도,아파트,97.00743701,2011
317,경상북도,경상북도,아파트,83.32901618,2011
318,경상남도,경상남도,아파트,102.1121561,2011
319,제주특별자치도,제주특별자치도,아파트,72.64703971,2011
320,전국,전국,연립다세대,98.81666122,2011
321,서울특별시,서울특별시,연립다세대,99.93961985,2011
322,경기도,경기도,연립다세대,100.7928149,2011
323,인천광역시,인천광역시,연립다세대,106.0302371,2011
324,부산광역시,부산광역시,연립다세대,96.4228848,2011
325,대구광역시,대구광역시,연립다세대,86.39826791,2011
