,지역(1),지역(2),주택유형,전세가격,연도
493,전라북도,전라북도,아파트,94.18236914,2012
494,전라남도,전라남도,아파트,94.58407782,2012
495,경상북도,경상북도,아파트,87.25349764,2012
496,경상남도,경상남도,아파트,94.04684778,2012
497,제주특별자치도,제주특별자치도,아파트,82.18980793,2012
498,전국,전국,연립다세대,91.7554738,2012
499,서울특별시,서울특별시,연립다세대,89.20674044,2012
500,경기도,경기도,연립다세대,91.93412805,2012
501,인천광역시,인천광역시,연립다세대,91.86746073,2012
502,부산광역시,부산광역시,연립다세대,96.93980612,2012
503,대구광역시,대구광역시,연립다세대,90.60750783,2012
504,경기도,광주시,연립다세대,95.23883463,2012
505,대전광역시,대전광역시,연립다세대,92.9339203,2012
506,울산광역시,울산광역시,연립다세대,94.09095279,2012
507,세종특별자치시,세종특별자치시,연립다세대,88.05137079,2012
508,강원도,강원도,연립다세대,94.17994631,2012
509,충청북도,충청북도,연립다세대,94.54606913,2012
510,충청남도,충청남도,연립다세대,94.52527313,2012
511,전라북도,전라북도,연립다세대,96.08468709,2012
512,전라남도,전라남도,연립다세대,92.83959695,2012
513,경상북도,경상북도,연립다세대,92.47699106,2012
514,경상남도,경상남도,연립다세대,96.66029488,2012
515,제주특별자치도,제주특별자치도,연립다세대,91.37125493,2012
516,전국,전국,단독주택,96.9395176,2012
517,서울특별시,서울특별시,단독주택,93.99017855,2012
518,경기도,경기도,단독주택,96.02088896,2012
519,인천광역시,인천광역시,단독주택,96.35596605,2012
520,부산광역시,부산광역시,단독주택,98.01447433,2012
521,대구광역시,대구광역시,단독주택,96.02528832,2012
522,광주광역시,광주광역시,단독주택,98.49938699,2012
523,대전광역시,대전광역시,단독주택,101.5585753,2012
524,울산광역시,울산광역시,단독주택,98.92500783,2012
525,세종특별자치시,세종특별자치시,단독주택,94.30972904,2012
526,강원도,강원도,단독주택,97.9221724,2012
527,충청북도,충청북도,단독주택,98.42777938,2012
528,충청남도,충청남도,단독주택,97.03407843,2012
529,전라북도,전라북도,단독주택,98.32848731,2012
530,전라남도,전라남도,단독주택,97.98968599,2012
531,경상북도,경상북도,단독주택,97.43243763,2012
532,경상남도,경상남도,단독주택,95.92546381,2012
533,제주특별자치도,제주특별자치도,단독주택,94.07091497,2012
534,전국,전국,종합,90.44690053,2013
535,서울특별시,서울특별시,종합,86.70992116,2013
536,서울특별시,종로구,종합,90.92622377,2013
537,서울특별시,중구,종합,89.15249558,2013
538,서울특별시,용산구,종합,89.9441842,2013
539,서울특별시,성동구,종합,85.23702011,2013
